model_id,family,task,advertised,command,returncode,stdout_path,stderr_path,output_json_path,draw_path,runtime_ms,json_parseable,output_schema_valid,final_state,blocker_code,recommended_fix,missing_information,package_bug,external_blocker,license_blocker,retry_count,evidence_file
convnextv2-base,convnextv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-base.json,0,reports/smoke_logs/convnextv2-base.stdout,reports/smoke_logs/convnextv2-base.stderr,/tmp/vsx_smoke_convnextv2-base.json,,4696.207829008927,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_convnextv2-base.json
convnextv2-large,convnextv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-large.json,0,reports/smoke_logs/convnextv2-large.stdout,reports/smoke_logs/convnextv2-large.stderr,/tmp/vsx_smoke_convnextv2-large.json,,4506.540079994011,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_convnextv2-large.json
convnextv2-tiny,convnextv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-tiny.json,0,reports/smoke_logs/convnextv2-tiny.stdout,reports/smoke_logs/convnextv2-tiny.stderr,/tmp/vsx_smoke_convnextv2-tiny.json,,4389.501117999316,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_convnextv2-tiny.json
maxvit-tiny-tf-224,maxvit,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict maxvit-tiny-tf-224 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_maxvit-tiny-tf-224.json,0,reports/smoke_logs/maxvit-tiny-tf-224.stdout,reports/smoke_logs/maxvit-tiny-tf-224.stderr,/tmp/vsx_smoke_maxvit-tiny-tf-224.json,,4830.405732995132,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_maxvit-tiny-tf-224.json
swinv2-base,swinv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-base.json,0,reports/smoke_logs/swinv2-base.stdout,reports/smoke_logs/swinv2-base.stderr,/tmp/vsx_smoke_swinv2-base.json,,4775.7638189941645,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_swinv2-base.json
swinv2-large,swinv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-large.json,1,reports/smoke_logs/swinv2-large.stdout,reports/smoke_logs/swinv2-large.stderr,/tmp/vsx_smoke_swinv2-large.json,,3730.802730002324,False,False,expected_blocker,DOWNLOAD_FAILED,,,False,True,False,0,/tmp/vsx_smoke_swinv2-large.json
swinv2-small,swinv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-small.json,0,reports/smoke_logs/swinv2-small.stdout,reports/smoke_logs/swinv2-small.stderr,/tmp/vsx_smoke_swinv2-small.json,,4566.390178995789,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_swinv2-small.json
swinv2-tiny,swinv2,classify,True,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-tiny.json,0,reports/smoke_logs/swinv2-tiny.stdout,reports/smoke_logs/swinv2-tiny.stderr,/tmp/vsx_smoke_swinv2-tiny.json,,4602.628512002411,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_swinv2-tiny.json
dfine-l,dfine,detect,True,/home/arash/miniconda3/bin/python -m visionservex predict dfine-l /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-l.json,0,reports/smoke_logs/dfine-l.stdout,reports/smoke_logs/dfine-l.stderr,/tmp/vsx_smoke_dfine-l.json,,4429.035762994317,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_dfine-l.json
dfine-l-coco,dfine,detect,True,/home/arash/miniconda3/bin/python -m visionservex predict dfine-l-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-l-coco.json,0,reports/smoke_logs/dfine-l-coco.stdout,reports/smoke_logs/dfine-l-coco.stderr,/tmp/vsx_smoke_dfine-l-coco.json,,4436.44078100624,True,True,smoke_passed,,,,False,False,False,0,/tmp/vsx_smoke_dfine-l-coco.json
